fact_id,layer,variant_a,variant_b,is_correct_a,is_correct_b,pair_type,cosine_distance,l2_distance
fact_0004,6,original,short_direct,False,False,wrong_wrong,0.011207818984985352,12.698081016540527
fact_0004,6,original,answer_briefly,False,False,wrong_wrong,0.43446898460388184,73.92798614501953
fact_0004,6,original,no_explanation,False,False,wrong_wrong,0.46052390336990356,75.54622650146484
fact_0004,6,original,direct_answer,False,True,correct_wrong,0.037229716777801514,23.05184555053711
fact_0004,6,short_direct,answer_briefly,False,False,wrong_wrong,0.43495744466781616,73.47101593017578
fact_0004,6,short_direct,no_explanation,False,False,wrong_wrong,0.46026718616485596,75.01029205322266
fact_0004,6,short_direct,direct_answer,False,True,correct_wrong,0.049728989601135254,26.465068817138672
fact_0004,6,answer_briefly,no_explanation,False,False,wrong_wrong,0.12774229049682617,35.765140533447266
fact_0004,6,answer_briefly,direct_answer,False,True,correct_wrong,0.42762207984924316,72.47980499267578
fact_0004,6,no_explanation,direct_answer,False,True,correct_wrong,0.45512300729751587,74.20175170898438
fact_0004,9,original,short_direct,False,False,wrong_wrong,0.00932401418685913,15.116189002990723
fact_0004,9,original,answer_briefly,False,False,wrong_wrong,0.41157305240631104,91.8106689453125
fact_0004,9,original,no_explanation,False,False,wrong_wrong,0.410641074180603,90.33362579345703
fact_0004,9,original,direct_answer,False,True,correct_wrong,0.04379969835281372,32.3439826965332
fact_0004,9,short_direct,answer_briefly,False,False,wrong_wrong,0.412572979927063,92.21540069580078
fact_0004,9,short_direct,no_explanation,False,False,wrong_wrong,0.41505932807922363,91.08783721923828
fact_0004,9,short_direct,direct_answer,False,True,correct_wrong,0.055928826332092285,36.624385833740234
fact_0004,9,answer_briefly,no_explanation,False,False,wrong_wrong,0.15169495344161987,46.14950180053711
fact_0004,9,answer_briefly,direct_answer,False,True,correct_wrong,0.39368587732315063,87.67469787597656
fact_0004,9,no_explanation,direct_answer,False,True,correct_wrong,0.3805619478225708,84.90570831298828
fact_0004,12,original,short_direct,False,False,wrong_wrong,0.009522318840026855,19.939165115356445
fact_0004,12,original,answer_briefly,False,False,wrong_wrong,0.3544301986694336,114.89493560791016
fact_0004,12,original,no_explanation,False,False,wrong_wrong,0.3793368339538574,118.93986511230469
fact_0004,12,original,direct_answer,False,True,correct_wrong,0.06625694036483765,52.69581604003906
fact_0004,12,short_direct,answer_briefly,False,False,wrong_wrong,0.35514992475509644,113.99824523925781
fact_0004,12,short_direct,no_explanation,False,False,wrong_wrong,0.3811439871788025,118.19792175292969
fact_0004,12,short_direct,direct_answer,False,True,correct_wrong,0.07682055234909058,56.410396575927734
fact_0004,12,answer_briefly,no_explanation,False,False,wrong_wrong,0.19594663381576538,78.25299835205078
fact_0004,12,answer_briefly,direct_answer,False,True,correct_wrong,0.3343302011489868,111.65213775634766
fact_0004,12,no_explanation,direct_answer,False,True,correct_wrong,0.34088289737701416,112.8803939819336
fact_0007,6,original,short_direct,False,True,correct_wrong,0.008362770080566406,11.770076751708984
fact_0007,6,original,answer_briefly,False,False,wrong_wrong,0.4154766798019409,76.21662139892578
fact_0007,6,original,no_explanation,False,False,wrong_wrong,0.4286990761756897,76.59217834472656
fact_0007,6,original,direct_answer,False,True,correct_wrong,0.03062617778778076,22.40625
